sentence,labels,topic
slide giáo trình đầy đủ .,2,1
"nhiệt tình giảng dạy , gần gũi sinh viên .",2,0
đi học đầy đủ full điểm chuyên .,0,1
chưa áp dụng công nghệ thông tin thiết hỗ trợ cho giảng dạy .,0,0
"thầy giảng bài hay , bài tập ví dụ lớp .",2,0
"giảng viên đảm bảo thời gian lớp , tích cực trả lời câu hỏi sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2,0
"em nợ môn này , em học ở học kỳ kế tiếp .",1,3
"thời lượng học quá dài , đảm bảo tiếp thu hiệu quả .",0,1
"nội dung môn học phần thiếu trọng tâm , hầu chung chung , khái quát khiến sinh viên khó nắm nội dung môn học .",0,1
nói rõ hơn bằng cách trình bày bảng thay nhìn slide .,0,1
thầy tận tình đi dạy đúng giờ .,2,0
dễ áp lực .,0,3
"dạy thầy wzjwz208 đi nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1,0
môn học còn dễ nâng độ khó .,0,1
"thể cho sinh viên đi thăm quan công ty xem quy mô cách làm , giúp hiểu rõ hơn về ngành mình học .",0,1
hài lòng về tất .,2,3
"nhiệt tình , vui vẻ .",2,0
thấy nhiệt tình trao đổi giúp đỡ về học tập .,2,0
phong cách giảng bài thầy gần gũi sinh viên !,2,0
giảng dạy kết hợp hoạt động giải trí hiệu quả .,2,0
tạo buổi seminar sinh viên thể hiểu sâu thêm về vấn đề chuyên ngành môn học .,0,1
tiết học thoải mái .,2,0
"thầy nhiệt tình , quan tâm tới sinh viên .",2,0
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến sinh viên hiểu !",2,0
"chưa tiết làm bài tập , chữa bài tập lớp .",0,1
tài liệu bổ sung đầy đủ moodle .,2,1
giảng viên cho ví dụ cụ thể phần quan trọng nói kỹ thể lấy ví dụ minh họa tránh lặp đi lặp lần tạo cảm giác chán cho sinh viên .,0,0
biên soạn một tài liệu chính trường ta .,0,1
giúp đỡ sinh viên vấn đề xung quanh .,0,0
"bài tập đa dạng , cụ thể .",2,1
"nội dung giảng viên yêu cầu seminar hầu tài liệu tham khảo ít ứng dụng thực tế , đề nghị thay đổi năm học tới .",0,1
slide up đầy đủ buổi học .,2,1
"nội dung giảng dạy quá nhàm chán , khô khan .",0,1
lượng kiến thức quá một học kỳ .,0,1
thầy chép bảng .,0,0
"thầy tận tình hướng dẫn cách làm , giải quyết thắc mắc sinh viên .",2,0
"chúc thầy cô , anh chị làm vui vẻ !",2,3
"hay , nhiệt tình , dễ hiểu .",2,0
"mặc dù nhiệt tình truyền đạt khó hiểu , sử dụng ngôn gây khó khăn cho hiểu bài .",0,0
"thầy dạy khá hay , cung cấp thông tin liên quan đến môn học , đưa hướng giải quyết sinh viên gặp vấn đề khó khăn đồ án !",2,0
hy vọng học kỳ thể học cô .,2,0
em lớp học môn đặc tả hình thức giống lớp học biết mình học .,0,1
giảng nói nhỏ quá .,0,0
thực hành khó hiểu .,0,1
"thầy tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2,0
"cô dạy nhiệt huyết mình , dù thế nào , cô luôn mỉm cười kiên trì giảng bài cho chúng em đến chúng em hiểu .",2,0
"cô lớp đúng giờ , giảng bài dễ hiểu cho sinh viên .",2,0
"thông tin thiết doubledot thời gian dealine , cách nộp bài thường dặn lớp thực hành thứ hai .",0,0
"thầy nhiệt tình , dễ chịu .",2,0
"giảng viên chưa đi sâu bản chất vấn đề , em học thôi biết bản chất nó nó ứng dụng này cho chuyên ngành em .",0,0
đặc biệt hơn thầy bỏ công sức bài tập chấm điểm một cách rõ ràng minh bạch .,2,0
cô nhiệt tình tận dụng tốt thời gian .,2,1
"giảng viên tận tâm , nhiệt huyết giảng dạy .",2,0
"thầy nhiệt tình , gần gũi .",2,0
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2,0
tạo cạnh tranh buổi thực hành .,1,0
bài tập code tham khảo .,2,1
"nâng cấp hệ thống wifi , phòng thực hành , sinh viên thể truy cập internet , buộc xin phép ngoài làm bài .",0,2
tài liệu chi tiết lắm .,0,1
"tận tâm , nhiệt tình , vui tính , dễ gần sinh viên .",2,0
thầy dạy hay nhiệt tình .,2,0
"thầy dạy đúng giờ , hướng dẫn sinh viên thực hành .",0,0
giúp đỡ học sinh quá ít .,0,0
cô dạy buồn ngủ quá .,0,0
kinh mong nội dung môn học giảm tải cho phù hợp hơn đặc thù một trường công nghệ thông tin .,0,1
thầy tận tình vui tính .,2,0
cô kiểu khó tính .,0,0
tạo hứng thú cho sinh viên .,2,0
cô giảng hay cuốn hút truyền đạt dễ hiểu .,2,0
hứng thú học .,2,0
ôn tập đúng thầy biết cuối kỳ mấy điểm .,1,1
"giảng viên hướng dẫn cụ thể , chi tiết .",2,0
giáo trình quá ít nội dung khác nhau mấy .,0,1
"giáo viên nghỉ dạy liên tục , cuối học kỳ tăng học bù , tiết học bù ảnh hưởng đến đồ án , trễ deadline .",0,0
"giáo viên dạy , dạy cũng thông báo , sinh viên tốn thời gian , công sức , tiền bạc ngồi đợi đi về .",0,0
"một phòng máy tốt hơn , hiện đại hơn .",0,2
thầy cho làm bài tập tương tự nhau hơn một vài bài tránh tình trạng quên hoặc dạng tựa nhau hơi khác cách làm .,0,0
"ngờ môn này chán đến , học môn này , thầy dạy chán kinh khủng , hay đi trễ ba mươi - bốn mươi lăm phút , nhiệt tình .",0,0
giảng viên đánh giá sai điểm năng lực học sinh .,0,0
